risk_weight,cost_weight,best_strategy,uncertainty_utility,latent_utility,probe_utility,abstain_utility
1.0,0.0,executable_probe_protocol,0.12504277777777761,0.34769916666666645,0.6893622222222221,0.0
1.0,0.1,executable_probe_protocol,0.10798527777777761,0.3141879444444442,0.49661233333333304,0.0
1.0,0.25,latent_disagreement_score,0.0823990277777776,0.2639211111111109,0.2074874999999995,0.0
1.0,0.5,latent_disagreement_score,0.039755277777777584,0.18014305555555535,-0.2743872222222231,0.0
1.0,1.25,abstain,-0.08817597222222245,-0.07119111111111132,-1.7200113888888913,0.0
