strategy,ambiguity,mean_resolved_rate,mean_unsafe_false_accept_rate,mean_post_probe_model_error,mean_physical_probe_cost
executable_probe_protocol,free_space_dynamics,0.865,0.068,0.029,1.601
executable_probe_protocol,friction_cone,0.786,0.110,0.113,1.951
executable_probe_protocol,object_identity,0.807,0.106,0.097,1.885
executable_probe_protocol,occluded_contact,0.777,0.117,0.138,2.033
executable_probe_protocol,support_graph,0.761,0.120,0.163,2.095
executable_probe_protocol,tool_hinge,0.777,0.116,0.133,2.000
latent_disagreement_score,free_space_dynamics,0.708,0.179,0.058,0.343
latent_disagreement_score,friction_cone,0.600,0.273,0.221,0.339
latent_disagreement_score,object_identity,0.626,0.262,0.182,0.343
latent_disagreement_score,occluded_contact,0.591,0.296,0.254,0.336
latent_disagreement_score,support_graph,0.569,0.305,0.292,0.321
latent_disagreement_score,tool_hinge,0.593,0.285,0.240,0.329
uncertainty_threshold,free_space_dynamics,0.552,0.240,0.087,0.169
uncertainty_threshold,friction_cone,0.465,0.353,0.287,0.171
uncertainty_threshold,object_identity,0.484,0.336,0.250,0.176
uncertainty_threshold,occluded_contact,0.446,0.380,0.341,0.167
uncertainty_threshold,support_graph,0.431,0.398,0.390,0.171
uncertainty_threshold,tool_hinge,0.454,0.374,0.324,0.169
