ambiguity,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
a00,s00,0.424880,0.269334,0.162600,0.032862,0.626887,0.498880,0.290499,0.185201,0.540517,0.461523,0.063000,0.022027,0.773412,0.655300,0.241745,0.070000,0.164983,1509949440
a00,s01,0.592758,0.160596,0.260800,0.392009,0.524158,0.569485,0.404841,0.378703,0.642533,0.582742,0.067250,0.023662,0.768784,0.655300,0.355113,0.110000,0.309725,1509949440
a00,s02,0.491983,0.182642,0.150000,0.266924,0.575018,0.524893,0.336511,0.286352,0.563150,0.502400,0.093000,0.032739,0.786083,0.655300,0.332292,0.090000,0.242939,1509949440
a00,s03,0.453039,0.207888,1.047008,-0.151775,0.598854,0.506203,0.309918,0.239727,0.515450,0.462500,0.120750,0.042530,0.621592,0.655300,-0.028223,0.130000,0.209352,1509949440
a00,s04,0.684322,0.069904,0.942400,0.415639,0.460281,0.608418,0.467750,0.503004,0.788424,0.658360,0.065500,0.022803,0.656980,0.655300,0.215242,0.180000,0.403265,1509949440
a00,s05,0.652487,0.098194,0.586439,0.478165,0.481679,0.592868,0.445956,0.460179,0.735960,0.631107,0.091447,0.032233,0.717658,0.655300,0.335262,0.210000,0.372250,1509949440
a00,s06,0.637035,0.059059,0.617681,0.488675,0.478849,0.579970,0.435351,0.466575,0.821598,0.583643,0.170870,0.060610,0.716730,0.655300,0.314352,0.230000,0.381780,1509949440
a00,s07,0.000000,0.000000,0.000000,0.000000,0.681000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.357058,1.000000,0.000000,-0.014282,0.030000,0.000000,1509949440
a00,s08,0.933561,0.023265,0.591100,0.931784,0.336464,0.716040,0.637141,0.724702,0.916700,0.891171,0.036000,0.012620,0.725810,0.655300,0.484638,0.220000,0.564774,1509949440
a01,s00,0.373394,0.404694,0.162600,-0.267753,0.717496,0.472017,0.252739,0.065476,0.540517,0.437163,0.063000,0.027966,0.757169,0.634300,0.117424,0.070000,0.070712,1509949440
a01,s01,0.582179,0.270556,0.277600,0.178876,0.590008,0.559645,0.393474,0.300283,0.642533,0.555694,0.067250,0.030001,0.752565,0.634300,0.260082,0.110000,0.246611,1509949440
a01,s02,0.446376,0.279902,0.150000,0.038631,0.653456,0.500422,0.302238,0.188384,0.563150,0.485600,0.093000,0.041506,0.774412,0.634300,0.237793,0.090000,0.166079,1509949440
a01,s03,0.589528,0.331847,1.465654,-0.356024,0.602024,0.555766,0.398740,0.264521,0.515450,0.503000,0.155150,0.069439,0.531361,0.634300,-0.220678,0.130000,0.222233,1509949440
