cost_weight,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
c00,s00,0.381454,0.382785,0.162600,-0.160610,0.702792,0.476278,0.258698,0.087059,0.540517,0.441223,0.063000,0.026492,0.759798,0.637800,0.195724,0.070000,0.087050,2013265920
c00,s01,0.583422,0.252797,0.274800,0.311257,0.579409,0.561066,0.395020,0.312617,0.642533,0.560202,0.067250,0.028427,0.755200,0.637800,0.373764,0.110000,0.256574,2013265920
c00,s02,0.453457,0.264218,0.150000,0.128900,0.640749,0.504283,0.307614,0.204000,0.563150,0.488400,0.093000,0.039329,0.776294,0.637800,0.306698,0.090000,0.178353,2013265920
c00,s03,0.557093,0.312338,1.377380,0.164249,0.606143,0.543392,0.377380,0.252211,0.515450,0.491875,0.149750,0.063985,0.549591,0.637800,0.306620,0.130000,0.214117,2013265920
c00,s04,0.729608,0.138335,1.301500,0.684990,0.485010,0.620887,0.494213,0.491587,0.787024,0.670522,0.090875,0.038730,0.584130,0.637800,0.514106,0.180000,0.391809,2013265920
c00,s05,0.701266,0.150499,0.906293,0.618436,0.500805,0.606788,0.475108,0.460912,0.757797,0.648302,0.117846,0.050393,0.653807,0.637800,0.486531,0.210000,0.370253,2013265920
c00,s06,0.667222,0.100853,0.858855,0.659212,0.503713,0.586814,0.451962,0.459726,0.827026,0.587637,0.187767,0.080243,0.668304,0.637800,0.499169,0.230000,0.374240,2013265920
c00,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2013265920
c00,s08,0.931162,0.039667,0.733600,1.108859,0.369644,0.709309,0.629971,0.708041,0.916700,0.889946,0.046875,0.020008,0.698192,0.637800,0.677039,0.220000,0.550762,2013265920
c01,s00,0.381758,0.382648,0.162600,-0.168141,0.702621,0.476406,0.258903,0.087316,0.540517,0.441223,0.063000,0.026492,0.759814,0.637800,0.187820,0.070000,0.087252,2013265920
c01,s01,0.583726,0.252661,0.274800,0.298130,0.579239,0.561194,0.395225,0.312931,0.642533,0.560202,0.067250,0.028427,0.755217,0.637800,0.360250,0.110000,0.256808,2013265920
c01,s02,0.453760,0.264081,0.150000,0.122012,0.640578,0.504411,0.307819,0.204315,0.563150,0.488400,0.093000,0.039329,0.776310,0.637800,0.299424,0.090000,0.178587,2013265920
c01,s03,0.557396,0.312202,1.377380,0.095992,0.605972,0.543520,0.377585,0.252526,0.515450,0.491875,0.149750,0.063985,0.549607,0.637800,0.237977,0.130000,0.214350,2013265920
c01,s04,0.729911,0.138199,1.301500,0.620527,0.484840,0.621014,0.494417,0.491901,0.787024,0.670522,0.090875,0.038730,0.584146,0.637800,0.449257,0.180000,0.392042,2013265920
