risk_weight,strategy,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
r00,s00,0.381463,0.382781,0.162600,0.201999,0.702787,0.476282,0.258704,0.087067,0.540517,0.441223,0.063000,0.026492,0.759798,0.637800,0.326851,0.070000,0.087056,2415919104
r00,s01,0.583431,0.252793,0.274800,0.490675,0.579404,0.561070,0.395026,0.312626,0.642533,0.560202,0.067250,0.028427,0.755201,0.637800,0.400342,0.110000,0.256581,2415919104
r00,s02,0.453465,0.264214,0.150000,0.365600,0.640744,0.504287,0.307620,0.204009,0.563150,0.488400,0.093000,0.039329,0.776294,0.637800,0.383649,0.090000,0.178360,2415919104
r00,s03,0.557102,0.312334,1.377380,0.014071,0.606138,0.543396,0.377386,0.252220,0.515450,0.491875,0.149750,0.063985,0.549591,0.637800,-0.032420,0.130000,0.214124,2415919104
r00,s04,0.729617,0.138331,1.301500,0.370600,0.485005,0.620890,0.494219,0.491596,0.787024,0.670522,0.090875,0.038730,0.584130,0.637800,0.116125,0.180000,0.391816,2415919104
r00,s05,0.693152,0.157651,0.862049,0.516533,0.506244,0.603647,0.469602,0.450642,0.749730,0.642143,0.114293,0.048862,0.660913,0.637800,0.300293,0.210000,0.362376,2415919104
r00,s06,0.681690,0.104130,0.936331,0.472398,0.498022,0.594654,0.461776,0.470261,0.820086,0.608016,0.166110,0.070993,0.653965,0.637800,0.241866,0.230000,0.380832,2415919104
r00,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2415919104
r00,s08,0.931165,0.039665,0.733600,0.889535,0.369642,0.709311,0.629973,0.708044,0.916700,0.889946,0.046875,0.020008,0.698192,0.637800,0.433763,0.220000,0.550764,2415919104
r01,s00,0.381838,0.382612,0.162600,0.011248,0.702576,0.476440,0.258958,0.087385,0.540517,0.441223,0.063000,0.026492,0.759819,0.637800,0.240959,0.070000,0.087305,2415919104
r01,s01,0.583806,0.252624,0.274800,0.364934,0.579193,0.561228,0.395279,0.313015,0.642533,0.560202,0.067250,0.028427,0.755221,0.637800,0.343697,0.110000,0.256870,2415919104
r01,s02,0.453840,0.264045,0.150000,0.234149,0.640533,0.504445,0.307873,0.204398,0.563150,0.488400,0.093000,0.039329,0.776315,0.637800,0.324435,0.090000,0.178648,2415919104
r01,s03,0.557476,0.312166,1.377380,-0.141441,0.605927,0.543554,0.377639,0.252609,0.515450,0.491875,0.149750,0.063985,0.549612,0.637800,-0.102462,0.130000,0.214412,2415919104
r01,s04,0.729991,0.138163,1.301500,0.302089,0.484795,0.621048,0.494472,0.491984,0.787024,0.670522,0.090875,0.038730,0.584150,0.637800,0.085234,0.180000,0.392104,2415919104
r01,s05,0.689162,0.161327,0.838276,0.437322,0.508959,0.602115,0.466894,0.445507,0.745395,0.638833,0.112385,0.048040,0.664751,0.637800,0.270306,0.210000,0.358428,2415919104
r01,s06,0.672737,0.102840,0.884100,0.428370,0.501728,0.590124,0.455701,0.463548,0.820416,0.596597,0.175492,0.074996,0.663521,0.637800,0.232453,0.230000,0.376410,2415919104
r01,s07,0.000000,0.000000,0.000000,0.000000,0.737000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.427923,1.000000,0.000000,-0.017117,0.030000,0.000000,2415919104
r01,s08,0.931294,0.039590,0.733600,0.869948,0.369565,0.709365,0.630061,0.708188,0.916700,0.889946,0.046875,0.020008,0.698201,0.637800,0.424926,0.220000,0.550872,2415919104
