probe_library,resolution,unsafe,probe_cost,utility,post_error,info_gain,model_elim,task_success,gate_precision,gate_recall,abort_rate,false_abstain,reversibility,signature_match,value_info,policy_cost,recovery,weight
l00,0.546072,0.190984,0.582818,0.160643,0.576125,0.501242,0.364468,0.317864,0.714662,0.526990,0.202081,0.082605,0.711286,0.541333,0.152433,0.141111,0.259625,54358179840
l01,0.562209,0.177350,0.668526,0.176755,0.565454,0.521461,0.386227,0.338502,0.735644,0.530771,0.199607,0.088895,0.725939,0.592533,0.153497,0.141111,0.275011,54358179840
